순번,자치구,코스명,거리,소요시간,코스레벨,상세코스,
1,강서구,강서문화 산책길,2.51km,1시간30분,초급, 양천향교~겸재정선기념관~구암공원~허준박물관,
2,성북구,개운산 숲 나들길,2.20km,1시간30분,초급, 개운초등학교~성북구의회~고려대 북문,
3,구로구,개웅산 숲 산책길,1.50km,1시간,초급, 배드민턴장~야생화단지~숲속길,
4,강서구,개화산 나들길(강서 둘레길 1 2코스),7.74km,2시간40분,중급, 하늘길 전망대~개화산 호국충혼비~약사사,
5,강동구,고덕산 산책길,1.90km,1시간30분,초급,명일역 3번 출입구~고덕산 정상,
6,관악구 금천구,관악산 계곡 나들길,5.58km,2시간,중급, 관악산호수공원~용천수~관악산야외식물원,
7,관악구 금천구,관악산 나들길,6.99km,3시간,중급, 샘말공원~맨발공원~약수암~신우초등학교,
8,관악구 금천구,관음사 산책길,0.81km,40분,초급, 관음사~상록약수터,
9,구로구,구로 지양산 숲 나들길,6.90km,3시간,중급,지양산 숲길~차돌바위~궁동터널 위 지양산 숲길 시작,
10,강남구,구룡산 나들길,6.02km,2시간30분,중급, 달터근린공원~구룡산길 시작~개암약수터,
11,관악구 금천구,낙성대 산책길,1.22km,40분,초급, 안국사~낙성대공원,
12,중구 중랑구,남산 순환 나들길,9.17km,3시간,중급, 남산도서관앞~N서울타워~남산공원~와룡묘,
13,용산구 중구,남산야외식물원 산책길,2.29km,1시간,초급, 라틴아메리카 공원~야생화 공원~ 팔도소나무 단지,
14,양천구,달마을공원 산책길,0.59km,30분,초급, 진입마당~생태연못~야생초화원~달맞이언덕~아카시아나무 숲길~전망데크~숲속길~보호초식물화원,
15,강남구,대모산 나들길,4.80km,3시간,중급, 실로암 약수터~대모산 초소위~독도모형~대모산 정상,
16,용산구 중구,덕수궁 산책길,6.02km,2시간,초급, 덕수궁 돌담길~대한문~경운궁 양이재~홍화문~정동공원,
17,종로구,도심고궁 나들길,8.60km,3시간30분,중급, 경복궁~국립민속박물관~종로문화원~창덕궁~창경궁~종묘,
18,서대문구,독립공원안산 나들길,3.80km,2시간,중급, 서대문 독립공원~안산조망대~안산초화원 포장 산책로,
19,관악구 금천구,독산ㆍ삼성산 나들길,5.61km,3시간,초급,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리,
20,동작구,동작충효길(1코스_고구동산길),2.80km,1시간30분,중급, 노량진근린공원입구~고구동산조명명소~서달산자연생태탐방로~달마사,
21,동작구,동작충효길(2코스_현충원길),2.50Km,1시간,중급, 국립현충원입구~사당출입문~서달산산책로,
22,동작구,동작충효길(3코스_한강나들길),3.96km,2시간,중급, 사육신공원입구~노량진배수지시민공원~효시정,
23,동작구,동작충효길(4코스_노량진길),3.73km,1시간30분,중급, 노량진수산시장~대방e편한세상~노량진 근린공원~무장애 등산로,
24,동작구,동작충효길(5코스_보라매길),2.50km,1시간30분,중급, 보라매e편한세상아파트~보라매삼성아파트~동작구민회관,
